absolvovat	vec00601
absorbovat	vec00476
adaptovat	vec00095
adresovat	vec00602
akceptovat	vec00120
aktivovat	vec00038
aktualizovat	vec00436
akumulovat	vec00443
analyzovat	vec00090
angažovat se	vec00067
anulovat	vec00198
apelovat	vec00057
aplikovat	vec00079
argumentovat	vec00201
asistovat	vec00067
atakovat	vec00441
autorizovat	vec00078
avizovat	vec00060
bagatelizovat	vec00801
balit	vec00603
bavit se	vec00031
blokovat	vec00174
blížit se	vec00097
blížit se	vec01001
bojovat	vec00121
bojovat	vec00205
bojovat	vec01002
bombardovat	vec00604
brblat	vec00132
broukat	vec00794
brzdit	vec00486
bránit	vec00174
bránit	vec00244
bránit	vec00367
bránit se	vec00024
brát	vec00149
brát	vec00402
brát	vec00613
brát	vec01003
brát	vec01004
brát si	vec01007
budit	vec00196
budovat	vec00084
budovat	vec00179
bát se	vec00243
bít	vec00992
být	vec00017
bývat	vec00199
běžet	vec00221
běžet	vec00261
cenit	vec00322
cenit si	vec00322
centralizovat	vec00804
cenzurovat	vec01008
cestovat	vec00403
charakterizovat	vec00417
chlubit se	vec00418
chodit	vec00227
chodit	vec01025
chopit se	vec00613
chovat	vec00468
chovat se	vec00225
chrlit	vec00614
chránit	vec00024
chutnat	vec01026
chválit	vec00675
chvástat se	vec00418
chybět	vec00419
chystat	vec00502
chystat se	vec00290
chytat	vec00126
chytit	vec00825
chytit se	vec00616
chápat	vec00107
chápat	vec00402
chápat se	vec00613
citovat	vec01009
couvnout	vec00942
cvičit	vec00606
cílit	vec00859
cítit	vec00203
cítit	vec00470
cítit se	vec00204
darovat	vec00074
datovat	vec00806
datovat se	vec00005
dařit se	vec00153
dařit se	vec00257
dbát	vec00303
debatovat	vec00031
definovat	vec00127
definovat	vec00417
degradovat	vec00807
deklarovat	vec00060
demolovat	vec00389
demonstrovat	vec00330
destabilizovat	vec01011
devalvovat	vec01012
diktovat	vec01013
dirigovat	vec00302
diskreditovat	vec01192
diskriminovat	vec00808
diskutovat	vec00031
disponovat	vec00277
distancovat se	vec00607
distribuovat	vec00209
dlužit	vec00406
dmout se	vec00949
docházet	vec00097
docházet	vec00217
docházet	vec00218
docházet	vec00810
docílit	vec00189
dodat	vec00011
dodat	vec00060
dodat	vec00499
dodržet	vec00316
dodržovat	vec00316
dodávat	vec00011
dodávat	vec00060
dodávat	vec00499
dohadovat	vec00162
dohadovat se	vec00019
dohlédnout	vec00211
dohlížet	vec00211
dohnat	vec01015
dohnat	vec01017
dohodnout	vec00078
dohodnout se	vec00162
dohánět	vec01015
dohánět	vec01017
dojednat	vec00162
dojednávat	vec00162
dojít	vec00097
dojít	vec00217
dojít	vec00810
dokazovat	vec00087
dokladovat	vec00087
dokládat	vec00087
dokončit	vec00213
dokončovat	vec00213
dokázat	vec00087
dokázat	vec00212
doladit	vec00008
dolaďovat	vec00008
dominovat	vec00214
domnívat se	vec00032
domnívat se	vec00345
domáhat se	vec00272
donutit	vec00098
dopadnout	vec00309
dopadnout	vec00467
doplatit	vec00740
doplnit	vec00407
doplnit	vec00499
doplácet	vec00740
doplňovat	vec00407
doporučit	vec00039
doporučit	vec00215
doporučovat	vec00215
dopouštět se	vec00009
dopravit	vec00209
dopravovat	vec00209
dopustit se	vec00009
dorazit	vec00218
doručit	vec00011
doručovat	vec00011
dosadit	vec00735
dosahovat	vec00206
dosazovat	vec00735
doslechnout se	vec00013
dospívat	vec00167
dospívat	vec00217
dospívat	vec00218
dospět	vec00167
dospět	vec00217
dospět	vec00218
dostat	vec00189
dostat	vec00586
dostat	vec00636
dostat	vec00735
dostat	vec00812
dostat se	vec00189
dostat se	vec00218
dostat se	vec00811
dostat se	vec01115
dostavit se	vec00042
dostavit se	vec00097
dostavovat se	vec00042
dostavovat se	vec00097
dostihnout	vec01017
dostát	vec00316
dostávat	vec00189
dostávat	vec00735
dostávat	vec00812
dostávat se	vec00189
dostávat se	vec00586
dostávat se	vec01115
dosáhnout	vec00189
dosáhnout	vec00206
dotazovat se	vec00384
dotknout se	vec00254
dotknout se	vec00328
dotknout se	vec00372
dotlačit	vec00098
dotovat	vec00410
dotázat se	vec00384
dotýkat se	vec00328
doufat	vec00219
doutnat	vec00748
dovolit	vec00012
dovolit si	vec00411
dovolovat	vec00012
dovolovat si	vec00411
dovršit	vec00213
dovážet	vec00011
dovést	vec00812
dovézt	vec00011
dovídat se	vec00013
dovědět se	vec00013
doznat se	vec00503
dozrát	vec01018
dozrávat	vec01018
dozvídat se	vec00013
dozvědět se	vec00013
dozírat	vec00211
dořešit	vec00301
dožadovat se	vec00272
dražit	vec01151
drát se	vec00121
dráždit	vec00608
držet	vec00014
držet	vec00176
držet	vec00348
držet	vec00412
držet	vec00813
držet se	vec00199
držet se	vec00303
držet se	vec00394
dumat	vec01081
dusit	vec00815
dát	vec00033
dát	vec00060
dát	vec00074
dát	vec00127
dát	vec00147
dát	vec00208
dát	vec00334
dát	vec00443
dát	vec00571
dát	vec00735
dát	vec00812
dát se	vec00318
dát se	vec00698
dávat	vec00033
dávat	vec00060
dávat	vec00127
dávat	vec00147
dávat	vec00208
dávat	vec00443
dávat	vec00543
dávat	vec00695
dávat	vec00735
dávat	vec00812
dít se	vec00006
dít se	vec00097
dívat se	vec00021
dívat se	vec00310
dívat se	vec00402
dívat se	vec00869
dýchat	vec01019
dědit	vec00584
děkovat	vec00065
dělit se	vec00304
děsit	vec00761
dřít	vec00273
dřít se	vec00273
evakuovat	vec01020
evokovat	vec00016
existovat	vec00017
expandovat	vec00510
expedovat	vec00209
experimentovat	vec01021
explodovat	vec00018
extrahovat	vec00816
fascinovat	vec00609
figurovat	vec01022
financovat	vec00410
finišovat	vec00113
flirtovat	vec00817
formovat	vec00944
formulovat	vec00784
frustrovat	vec01183
fungovat	vec00221
fungovat	vec00273
fušovat	vec00818
garantovat	vec00511
generovat	vec00355
gratulovat	vec01023
handrkovat se	vec00019
hlasovat	vec00020
hlasovat	vec00069
hlasovat	vec00461
hledat	vec00021
hlásat	vec00060
hlásit	vec00060
hnout se	vec00022
hnát	vec00812
hnát se	vec00610
hodit	vec00819
hodit	vec00942
